#sepal_length,sepal_width,petal_length,petal_width,species
6.70,3.30,5.70,2.1,Iris-virginica
7.20,3.20,6.00,1.8,Iris-virginica
6.20,2.80,4.80,1.8,Iris-virginica
6.10,3.00,4.90,1.8,Iris-virginica
6.40,2.80,5.60,2.1,Iris-virginica
7.20,3.00,5.80,1.6,Iris-virginica
7.40,2.80,6.10,1.9,Iris-virginica
7.90,3.80,6.40,2,Iris-virginica
6.40,2.80,5.60,2.2,Iris-virginica
6.30,2.80,5.10,1.5,Iris-virginica
6.10,2.60,5.60,1.4,Iris-virginica
7.70,3.00,6.10,2.3,Iris-virginica
6.30,3.40,5.60,2.4,Iris-virginica
6.40,3.10,5.50,1.8,Iris-virginica
6.00,3.00,4.80,1.8,Iris-virginica
6.90,3.10,5.40,2.1,Iris-virginica
6.70,3.10,5.60,2.4,Iris-virginica
6.90,3.10,5.10,2.3,Iris-virginica
5.80,2.70,5.10,1.9,Iris-virginica
6.80,3.20,5.90,2.3,Iris-virginica
6.70,3.30,5.70,2.5,Iris-virginica
6.70,3.00,5.20,2.3,Iris-virginica
6.30,2.50,5.00,1.9,Iris-virginica
6.50,3.00,5.20,2,Iris-virginica
6.20,3.40,5.40,2.3,Iris-virginica
5.90,3.00,5.10,1.8,Iris-virginica
